"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Ursidae"
"Access Time","Wed 2017-02-22 07:50:18 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Ursidae"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0316"
"Records Found","772"
"Records Returned","772"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"138737","occ","","","11798","Indarctos sinensis","species","90198","subjective synonym of","Indarctos atticus","species","90196","Turolian","","8.7","5.333","11437"
"138739","occ","","","11798","Ursinae indet.","subfamily","65407","","Ursinae","subfamily","65407","Turolian","","8.7","5.333","10885"
"150068","occ","","","13293","Ursus thibetanus","species","104029","","Ursus thibetanus","species","104029","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412"
"150069","occ","","","13293","Ailuropoda melanoleuca","species","104016","","Ailuropoda melanoleuca","species","104015","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412"
"177833","occ","","","16885","Parictis n. sp. parvus","species","50003","","Parictis parvus","species","50003","Chadronian","","37.2","33.9","1235"
"177834","occ","","","16885","Parictis n. sp. gilpini","species","50000","","Parictis gilpini","species","50000","Chadronian","","37.2","33.9","1238"
"177835","occ","","","16885","Parictis dakotensis","species","49999","","Parictis dakotensis","species","49999","Chadronian","","37.2","33.9","1238"
"177925","occ","3434","","16907","Parictis personi","species","50004","","Parictis personi","species","44820","Chadronian","","37.2","33.9","6294"
"177942","occ","","","16913","Parictis dakotensis","species","49999","","Parictis dakotensis","species","49999","Chadronian","","37.2","33.9","1976"
"178031","occ","","","16919","Parictis parvus","species","50003","","Parictis parvus","species","50003","Chadronian","","37.2","33.9","3318"
"178233","occ","","","16933","Parictis gilpini","species","50000","","Parictis gilpini","species","50000","Chadronian","","37.2","33.9","1238"
"178370","occ","","","16946","Parictis montanus","species","50002","","Parictis montanus","species","50002","Chadronian","","37.2","33.9","1238"
"178414","occ","","","16958","Parictis gilpini","species","50000","","Parictis gilpini","species","50000","Chadronian","","37.2","33.9","1238"
"178466","occ","3579","","16960","Parictis parvus","species","50003","","Parictis parvus","species","50003","Chadronian","","37.2","33.9","1034"
"178509","occ","3593","","16961","Parictis parvus","species","50003","","Parictis parvus","species","50003","Chadronian","","37.2","33.9","6294"
"178553","occ","","","16962","Parictis sp.","genus","41320","","Parictis","genus","41320","Chadronian","","37.2","33.9","1442"
"178604","occ","","","16963","Parictis sp.","genus","41320","","Parictis","genus","41320","Chadronian","","37.2","33.9","1442"
"178641","occ","","","16964","Parictis sp.","genus","41320","","Parictis","genus","41320","Chadronian","","37.2","33.9","1442"
"178695","occ","","","16969","Parictis dakotensis","species","49999","","Parictis dakotensis","species","49999","Chadronian","","37.2","33.9","1238"
"178708","occ","","","16974","Parictis dakotensis","species","49999","","Parictis dakotensis","species","49999","Chadronian","","37.2","33.9","1238"
"178727","occ","","","16977","Parictis dakotensis","species","49999","","Parictis dakotensis","species","49999","Chadronian","","37.2","33.9","1570"
"178837","occ","","","16988","Parictis montanus","species","50002","","Parictis montanus","species","50002","Chadronian","","37.2","33.9","1238"
"178937","occ","","","16998","Parictis gilpini","species","50000","","Parictis gilpini","species","50000","Chadronian","","37.2","33.9","1238"
"178952","occ","","","17006","Parictis n. sp. dakotensis","species","49999","","Parictis dakotensis","species","49999","Chadronian","","37.2","33.9","1235"
"178953","occ","","","17006","Parictis n. sp. major","species","50001","","Parictis major","species","50001","Chadronian","","37.2","33.9","1238"
"179118","occ","","","17014","Parictis sp.","genus","41320","","Parictis","genus","41320","Chadronian","","37.2","33.9","2716"
"179189","occ","","","17024","Parictis gilpini","species","50000","","Parictis gilpini","species","50000","Chadronian","","37.2","33.9","1238"
"179293","occ","","","17040","Parictis gilpini","species","50000","","Parictis gilpini","species","50000","Chadronian","","37.2","33.9","1238"
"179327","occ","3805","","17045","Parictis parvus","species","50003","","Parictis parvus","species","50003","Chadronian","","37.2","33.9","1142"
"179507","occ","","","17082","Drassonax n. sp. harpagops","species","45917","","Drassonax harpagops","species","45917","Orellan","","33.9","33.3","1570"
"179614","occ","3872","","17094","Parictis cf. dakotensis","species","49999","","Parictis dakotensis","species","49999","Orellan","","33.9","33.3","1034"
"179963","occ","","","17147","Parictis gilpini","species","50000","","Parictis gilpini","species","50000","Orellan","","33.9","33.3","1238"
"180890","occ","","","17349","Allocyon loganensis","species","43876","","Allocyon loganensis","species","43876","Whitneyan","","33.3","30.8","31438"
"181655","occ","","","17534","Ursavus sp.","genus","41329","","Ursavus","genus","41329","Arikareean","","30.8","20.43","1976"
"182601","occ","","","17741","Cephalogale sp.","genus","41310","","Cephalogale","genus","41310","Harrisonian","","24.8","20.43","1971"
