"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"138772","occ","","","11798","Soricidae","family","40443","Turolian","","8.7","5.333","11436"
"138773","occ","","","11798","Crocidura","genus","40463","Turolian","","8.7","5.333","11436"
"138774","occ","","","11798","Blarinella","genus","40458","Turolian","","8.7","5.333","11436"
"138775","occ","","","11798","Soricinae","subfamily","53430","Turolian","","8.7","5.333","11436"
"138776","occ","","","11798","Anourosorex","genus","40452","Turolian","","8.7","5.333","11436"
"147933","occ","","","13060","Siwalikosorex","genus","40485","Late Miocene","","11.608","5.333","4341"
"150080","occ","","","13293","Crocidura russula","species","233992","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412"
"151052","occ","","","13482","Crocidosorex","genus","40462","Early Miocene","Middle Miocene","23.03","11.608","6095"
"151073","occ","","","13483","Soricidae","family","40443","Middle Miocene","Late Miocene","15.97","5.333","6095"
"151074","occ","","","13483","Soricidae","family","40443","Middle Miocene","Late Miocene","15.97","5.333","6095"
"151118","occ","","","13485","Zelceina kormosi","species","110664","Pliocene","","5.333","2.588","6095"
"151119","occ","","","13485","Blarinella","genus","40458","Pliocene","","5.333","2.588","6095"
"151120","occ","","","13485","Sorex","genus","40486","Pliocene","","5.333","2.588","6095"
"151121","occ","","","13485","Sorex","genus","40486","Pliocene","","5.333","2.588","6095"
"151122","occ","","","13485","Sorex","genus","40486","Pliocene","","5.333","2.588","6095"
"151123","occ","","","13485","Soricinae","subfamily","53430","Pliocene","","5.333","2.588","6095"
"151416","occ","","","13486","Sorex","genus","40486","Late Pliocene","","3.6","2.588","6095"
"151417","occ","","","13486","Sorex","genus","40486","Late Pliocene","","3.6","2.588","6095"
"151418","occ","","","13486","Paenelimnoecus","genus","40478","Late Pliocene","","3.6","2.588","6095"
"151419","occ","","","13486","Beremendia","genus","40456","Late Pliocene","","3.6","2.588","6095"
"151420","occ","","","13486","Soricidae","family","40443","Late Pliocene","","3.6","2.588","6095"
"151421","occ","","","13486","Soricidae","family","40443","Late Pliocene","","3.6","2.588","6095"
"151422","occ","","","13486","Soricidae","family","40443","Late Pliocene","","3.6","2.588","6095"
"175514","occ","","","16514","Soricidae","family","40443","Uintan","","46.2","40.4","2178"
"175548","occ","","","16515","Soricidae","family","40443","Uintan","","46.2","40.4","2178"
"175564","occ","","","16516","Soricidae","family","40443","Uintan","","46.2","40.4","2178"
"176219","occ","","","16626","Soricidae","family","40443","Late Uintan","","46.2","40.4","3305"
"177430","occ","","","16826","Soricidae","family","40443","Duchesnean","","40.4","37.2","2335"
"177601","occ","","","16845","Soricidae","family","40443","Duchesnean","","40.4","37.2","3306"
"177653","occ","","","16846","Soricidae","family","40443","Duchesnean","","40.4","37.2","3318"
"177810","occ","","","16884","Soricidae","family","40443","Duchesnean","","40.4","37.2","2178"
"179444","occ","3831","","17081","Pseudotrimylus compressus","species","45890","Orellan","","33.9","33.3","2484"
"179486","occ","3848","","17082","Pseudotrimylus compressus","species","45890","Orellan","","33.9","33.3","2484"
"179925","occ","","","17138","Soricidae","family","40443","Orellan","","33.9","33.3","3359"
"180649","occ","","","17317","Soricidae","family","40443","Whitneyan","","33.3","30.8","3707"
"180981","occ","","","17372","Soricidae","family","40443","Whitneyan","","33.3","30.8","3318"
"181708","occ","4479","","17540","Pseudotrimylus","genus","40484","Arikareean","","30.8","20.43","6294"
"181845","occ","4540","","17564","Pseudotrimylus","genus","40484","Monroecreekian","","26.3","24.8","6294"
"182341","occ","4800","","17659","Pseudotrimylus","genus","40484","Geringian","","30.8","26.3","1991"
"182547","occ","","","17726","Soricidae","family","40443","Geringian","Monroecreekian","30.8","24.8","936"
"183170","occ","","","17859","Soricidae","family","40443","Arikareean","","30.8","20.43","2610"
"183265","occ","","","17878","Wilsonosorex","genus","40494","Hemingfordian","","20.43","15.97","2416"
"183266","occ","","","17878","Limnoecus compressus","species","51635","Hemingfordian","","20.43","15.97","2416"
"183332","occ","19137","","17889","Adeloblarina","genus","40444","Late Hemingfordian","","20.43","15.97","19303"
"183471","occ","5173","","17912","Pseudotrimylus dakotensis","species","52499","Hemingfordian","","20.43","15.97","2869"
"183472","occ","5174","","17912","Wilsonosorex bateslandensis","species","52704","Hemingfordian","","20.43","15.97","2409"
"183522","occ","","","17914","Limnoecus","genus","40471","Hemingfordian","","20.43","15.97","2408"
"183739","occ","5237","","17965","Pseudotrimylus roperi","species","46958","Hemingfordian","","20.43","15.97","6294"
"183740","occ","","","17965","Wilsonosorex conulatus","species","52705","Hemingfordian","","20.43","15.97","2409"
"183741","occ","5238","","17965","Angustidens vireti","species","51671","Hemingfordian","","20.43","15.97","6294"
"183742","occ","5239","","17965","Limnoecus compressus","species","51635","Hemingfordian","","20.43","15.97","6294"
"184055","occ","","","18027","Alluvisorex","genus","40446","Barstovian","","15.97","13.6","3510"
"184093","occ","","","18031","Alluvisorex","genus","40446","Barstovian","","15.97","13.6","3510"
"184333","occ","","","18066","Soricidae","family","40443","Late Clarendonian","","13.6","10.3","3510"
"184521","occ","11114","","18086","Crusafontina magna","species","44116","Hemphillian","","10.3","4.9","11139"
"184522","occ","","","18086","Sorex edwardsi","species","51641","Hemphillian","","10.3","4.9","3510"
"184677","occ","","","18097","Soricidae","family","40443","Hemphillian","","10.3","4.9","6209"
"184902","occ","","","18126","Paracryptotis","genus","40479","Late Hemphillian","","10.3","4.9","3510"
"185033","occ","","","18141","Alluvisorex","genus","40446","Barstovian","","15.97","13.6","3503"
"185143","occ","","","18160","Soricidae","family","40443","Barstovian","","15.97","13.6","1713"
"185210","occ","","","18165","Limnoecus niobrarensis","species","47680","Barstovian","","15.97","13.6","2337"
"185535","occ","5766","","18208","Pseudotrimylus","genus","40484","Barstovian","","15.97","13.6","6294"
"185536","occ","","","18208","Soricidae","family","40443","Barstovian","","15.97","13.6","781"
"185583","occ","","","18209","Soricidae","family","40443","Barstovian","","15.97","13.6","3510"
"185753","occ","","","18225","Sorex edwardsi","species","51641","Hemphillian","","10.3","4.9","2218"
"185754","occ","","","18225","Sorex yatkolai","species","51672","Hemphillian","","10.3","4.9","2218"
