Species	Status	min_age	max_age
Soricidae	extinct	5.333	8.7
Crocidura	extinct	5.333	8.7
Blarinella	extinct	5.333	8.7
Soricinae	extinct	5.333	8.7
Anourosorex	extinct	5.333	8.7
Siwalikosorex	extinct	5.333	11.608
Crocidura_russula	extinct	0.0117	0.781
Crocidosorex	extinct	11.608	23.03
Soricidae	extinct	5.333	15.97
Soricidae	extinct	5.333	15.97
Zelceina_kormosi	extinct	2.588	5.333
Blarinella	extinct	2.588	5.333
Sorex	extinct	2.588	5.333
Sorex	extinct	2.588	5.333
Sorex	extinct	2.588	5.333
Soricinae	extinct	2.588	5.333
Sorex	extinct	2.588	3.6
Sorex	extinct	2.588	3.6
Paenelimnoecus	extinct	2.588	3.6
Beremendia	extinct	2.588	3.6
Soricidae	extinct	2.588	3.6
Soricidae	extinct	2.588	3.6
Soricidae	extinct	2.588	3.6
Soricidae	extinct	40.4	46.2
Soricidae	extinct	40.4	46.2
Soricidae	extinct	40.4	46.2
Soricidae	extinct	40.4	46.2
Soricidae	extinct	37.2	40.4
Soricidae	extinct	37.2	40.4
Soricidae	extinct	37.2	40.4
Soricidae	extinct	37.2	40.4
Pseudotrimylus_compressus	extinct	33.3	33.9
Pseudotrimylus_compressus	extinct	33.3	33.9
Soricidae	extinct	33.3	33.9
Soricidae	extinct	30.8	33.3
Soricidae	extinct	30.8	33.3
Pseudotrimylus	extinct	20.43	30.8
Pseudotrimylus	extinct	24.8	26.3
Pseudotrimylus	extinct	26.3	30.8
Soricidae	extinct	24.8	30.8
Soricidae	extinct	20.43	30.8
Wilsonosorex	extinct	15.97	20.43
Limnoecus_compressus	extinct	15.97	20.43
Adeloblarina	extinct	15.97	20.43
Pseudotrimylus_dakotensis	extinct	15.97	20.43
Wilsonosorex_bateslandensis	extinct	15.97	20.43
Limnoecus	extinct	15.97	20.43
Pseudotrimylus_roperi	extinct	15.97	20.43
Wilsonosorex_conulatus	extinct	15.97	20.43
Angustidens_vireti	extinct	15.97	20.43
Limnoecus_compressus	extinct	15.97	20.43
Alluvisorex	extinct	13.6	15.97
Alluvisorex	extinct	13.6	15.97
Soricidae	extinct	10.3	13.6
Crusafontina_magna	extinct	4.9	10.3
Sorex_edwardsi	extinct	4.9	10.3
Soricidae	extinct	4.9	10.3
Paracryptotis	extinct	4.9	10.3
Alluvisorex	extinct	13.6	15.97
Soricidae	extinct	13.6	15.97
Limnoecus_niobrarensis	extinct	13.6	15.97
