Species	Status
Adeloblarina	extinct
Adeloblarina_berklandi	extinct
Alloblarinella_europaea	extinct
Alloblarinella_sinica	extinct
Alluvisorex	extinct
Alluvisorex_arcadentes	extinct
Alluvisorex_chasseae	extinct
Amblycoptus	extinct
Amblycoptus_jessiae	extinct
Anchiblarinella_wakeeneyensis	extinct
Angustidens_excultus	extinct
Angustidens_vireti	extinct
Anourosorex	extinct
Anourosorex_oblongus	extinct
Anourosorex_squamipes	extinct
Antesorex_wilsoni	extinct
Aralosorex_kalini	extinct
Arctisorex_polaris	extinct
Asoriculus	extinct
Beckiasorex_hibbardi	extinct
Beremendia	extinct
Blarina	extinct
Blarina_brevicauda	extinct
Blarina_carolinensis	extinct
Blarinella	extinct
Blarinini	extinct
Blarinoides	extinct
Blarinoides_aliciae	extinct
Blarinoides_mariae	extinct
Builstynia_fontana	extinct
Carposorex	extinct
Chimarrogale	extinct
Clapasorex_alvarezae	extinct
Cokia_kowalskae	extinct
Cokia_robusta	extinct
Crocidosorex	extinct
Crocidosoricinae	extinct
Crocidura	extinct
Crocidura_russula	extinct
Crocidurinae	extinct
Crusafontina	extinct
Crusafontina_endemica	extinct
Crusafontina_kormosi	extinct
Crusafontina_magna	extinct
Crusafontina_minima	extinct
Crusafontina_vandeweerdi	extinct
Cryptotis	extinct
Cryptotis_adamsi	extinct
Cryptotis_kansasensis	extinct
Cryptotis_meadensis	extinct
Cryptotis_parva	extant
Deinsdorfia	extinct
Deinsdorfia_kerkhoffi	extinct
Diplomesodon	extinct
Drepanosorex	extinct
Episoriculus	extinct
Episoriculus_corsicanus	extinct
Episoriculus_gibberodon	extinct
Florinia_stehlini	extinct
Hemisorex	extinct
Hesperosorex	extinct
Hesperosorex_lovei	extinct
Kordosia_topali	extinct
Lartetium	extinct
Lartetium_petersbuchense	extinct
Limnoecinae	extinct
Limnoecus	extinct
Limnoecus_compressus	extinct
Limnoecus_niobrarensis	extinct
Limnoecus_tricuspis	extinct
Lunanosorex_lii	extinct
Mafia	extinct
Miocrocidosorex_zazhigini	extinct
Miosorex	extinct
Miosorex_grivensis	extinct
Miosorex_pusilliformis	extinct
Myosorex	extinct
Neomyini	extinct
Neomys	extinct
Neomys_fodiens	extinct
Neomysorex	extinct
Nesiotites	extinct
Notiosorex	extinct
Notiosorex_crawfordi	extant
Notiosorex_jacksoni	extinct
Notiosorex_repenningi	extinct
Oligosorex	extinct
Paenelimnoecus	extinct
Paenelimnoecus_crouzeli	extinct
Paenelimnoecus_micromorphus	extinct
Paenelimnoecus_obtusus	extinct
Paenelimnoecus_repenningi	extinct
Paenepetenyia_zhudingi	extinct
Paenesorex_bicuspis	extinct
Paracryptotis	extinct
Paracryptotis_gidleyi	extinct
Paracryptotis_rex	extinct
Paranourosorex_gigas	extinct
Paranourosorex_inexspectatus	extinct
Petenyia	extinct
Petenyia_concisa	extinct
Petenyia_dubia	extinct
Petenyia_hungarica	extinct
Petenyia_katrinae	extinct
Petenyiella	extinct
Petenyiella_zelcea	extinct
Planisorex_dixonensis	extinct
Pseudotrimylus	extinct
Pseudotrimylus_blacki	extinct
Pseudotrimylus_compressus	extinct
Pseudotrimylus_dakotensis	extinct
Pseudotrimylus_mawbyi	extinct
Pseudotrimylus_roperi	extinct
Scutisorex	extinct
Siwalikosorex	extinct
Sorex	extinct
Sorex_araneus	extinct
Sorex_arcticus	extinct
Sorex_bor	extinct
Sorex_cinereus	extinct
Sorex_cudahyensis	extinct
Sorex_dispar	extinct
Sorex_edwardsi	extinct
Sorex_ertemteensis	extinct
Sorex_fumeus	extinct
Sorex_hagermanensis	extinct
Sorex_hibbardi	extinct
Sorex_hoyi	extinct
Sorex_kansasensis	extinct
Sorex_lacustris	extinct
Sorex_leahyi	extinct
Sorex_longirostris	extinct
Sorex_margaritodon	extinct
Sorex_megapalustris	extinct
Sorex_meltoni	extinct
Sorex_merriami	extinct
Sorex_minutoides	extinct
Sorex_minutus	extinct
Sorex_monticolus	extinct
Sorex_palustris	extinct
Sorex_powersi	extinct
Sorex_praealpinus	extinct
Sorex_praearaneus	extinct
Sorex_pratensis	extinct
Sorex_pseudoalpinus	extinct
Sorex_quadraticauda	extinct
Sorex_rexroadensis	extinct
Sorex_runtonensis	extinct
Sorex_sandersi	extinct
Sorex_scottensis	extinct
Sorex_subminutus	extinct
Sorex_taylori	extinct
Sorex_vagrans	extinct
Sorex_yatkolai	extinct
Soricella	extinct
Soricella_discrepans	extinct
Soricidae	extinct
Soricinae	extinct
Soricini	extinct
Soricolestes_soricavus	extinct
Soriculus	extinct
Soriculus_kubinyi	extinct
Srinitium	extinct
Srinitium_caeruleum	extinct
Srinitium_marteli	extinct
Sulimskia_kretzoii	extinct
Suncus	extinct
Suncus_murinus	extinct
Sylvisorex	extinct
Taatsiinia_hoeckorum	extinct
Tavoonyia_altaica	extinct
Tregosorex_holmani	extinct
Ulmensia_antecedens	extinct
Ulmensia_ehrensteinensis	extinct
Wilsonosorex	extinct
Wilsonosorex_bateslandensis	extinct
Wilsonosorex_conulatus	extinct
Zelceina_kormosi	extinct
Zelceina_podlesicensis	extinct
