"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_attr","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","ref_author","ref_pubyr","reference_no","phylum","class","order","family","genus","plant_organ","plant_organ2","abund_value","abund_unit","lng","lat","collection_name","collection_subset","collection_aka","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments","paleomodel","paleolng","paleolat","geoplate","cc","protected","formation","stratgroup","member","stratscale","zone","localsection","localbed","localorder","regionalsection","regionalbed","regionalorder","stratcomments","lithdescript","lithology1","lithadj1","lithification1","minor_lithology1","fossilsfrom1","lithology2","lithadj2","lithification2","minor_lithology2","fossilsfrom2","environment","tectonic_setting","geology_comments","assembl_comps","articulated_parts","associated_parts","common_body_parts","rare_body_parts","feed_pred_traces","artifacts","component_comments","pres_mode","preservation_quality","spatial_resolution","temporal_resolution","lagerstatten","concentration","orientation","abund_in_sediment","sorting","fragmentation","bioerosion","encrustation","preservation_comments","collection_type","collection_methods","museum","collection_coverage","collection_size","rock_censused","collectors","collection_dates","collection_comments","taxonomy_comments","taxon_environment","environment_basis","motility","life_habit","vision","diet","reproduction","ontogeny","composition","architecture","thickness","reinforcement"
"138772","occ","","","11798","Soricidae indet.","family","40443","","Soricidae","","family","40443","Turolian","","8.7","5.333","Qiu et al.","1985","11436","Chordata","Mammalia","","Soricidae","","","","","","102.066666","25.016666","Lufeng","","","CN","Yunnan","Lufeng","stated in text","minutes","outcrop","Located about 9 km north of Lufeng at the southern side of Miaoshanpo-Mountain; IVPP-Point 75033 called section D.","gp_mid","101.59","23.91","611","CN","","","","","member","","","","","","","","Quarry sequence is divided into 8 beds (numbered from top) in the Xi River Basin north of Lufeng China. These unconformably overly Mesozoic sediments. No Formation names are given.\r\nHan 1985: ""Its geological age is Late Miocene equivalent to the Turolian of European sequence of land mammal ages."" Qi 1986: Age ""8 Ma or perhaps a bit later""","Quarry section at Lufeng is 8 m thick. Detailed microstratigraphy given in Qi 1985 and Badgley et al 1988.","lignite","black","unlithified","sandy","Y","mudstone","","unlithified","calcareous","Y","fluvial-lacustrine indet.","","","macrofossils,mesofossils,microfossils","","","","","","","","","","","","","","","","","","","","","taxonomic","bulk,field collection","","some macrofossils,some microfossils","","","","","","","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"138773","occ","","","11798","cf. Crocidura sp.","genus","40463","","Crocidura","","genus","40463","Turolian","","8.7","5.333","Qiu et al.","1985","11436","Chordata","Mammalia","","Soricidae","Crocidura","","","","","102.066666","25.016666","Lufeng","","","CN","Yunnan","Lufeng","stated in text","minutes","outcrop","Located about 9 km north of Lufeng at the southern side of Miaoshanpo-Mountain; IVPP-Point 75033 called section D.","gp_mid","101.59","23.91","611","CN","","","","","member","","","","","","","","Quarry sequence is divided into 8 beds (numbered from top) in the Xi River Basin north of Lufeng China. These unconformably overly Mesozoic sediments. No Formation names are given.\r\nHan 1985: ""Its geological age is Late Miocene equivalent to the Turolian of European sequence of land mammal ages."" Qi 1986: Age ""8 Ma or perhaps a bit later""","Quarry section at Lufeng is 8 m thick. Detailed microstratigraphy given in Qi 1985 and Badgley et al 1988.","lignite","black","unlithified","sandy","Y","mudstone","","unlithified","calcareous","Y","fluvial-lacustrine indet.","","","macrofossils,mesofossils,microfossils","","","","","","","","","","","","","","","","","","","","","taxonomic","bulk,field collection","","some macrofossils,some microfossils","","","","","","","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"138774","occ","","","11798","Blarinella sp.","genus","40458","","Blarinella","","genus","40458","Turolian","","8.7","5.333","Qiu et al.","1985","11436","Chordata","Mammalia","","Soricidae","Blarinella","","","","","102.066666","25.016666","Lufeng","","","CN","Yunnan","Lufeng","stated in text","minutes","outcrop","Located about 9 km north of Lufeng at the southern side of Miaoshanpo-Mountain; IVPP-Point 75033 called section D.","gp_mid","101.59","23.91","611","CN","","","","","member","","","","","","","","Quarry sequence is divided into 8 beds (numbered from top) in the Xi River Basin north of Lufeng China. These unconformably overly Mesozoic sediments. No Formation names are given.\r\nHan 1985: ""Its geological age is Late Miocene equivalent to the Turolian of European sequence of land mammal ages."" Qi 1986: Age ""8 Ma or perhaps a bit later""","Quarry section at Lufeng is 8 m thick. Detailed microstratigraphy given in Qi 1985 and Badgley et al 1988.","lignite","black","unlithified","sandy","Y","mudstone","","unlithified","calcareous","Y","fluvial-lacustrine indet.","","","macrofossils,mesofossils,microfossils","","","","","","","","","","","","","","","","","","","","","taxonomic","bulk,field collection","","some macrofossils,some microfossils","","","","","","","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"138775","occ","","","11798","Soricinae indet.","subfamily","53430","","Soricinae","","subfamily","53430","Turolian","","8.7","5.333","Qiu et al.","1985","11436","Chordata","Mammalia","","Soricidae","","","","","","102.066666","25.016666","Lufeng","","","CN","Yunnan","Lufeng","stated in text","minutes","outcrop","Located about 9 km north of Lufeng at the southern side of Miaoshanpo-Mountain; IVPP-Point 75033 called section D.","gp_mid","101.59","23.91","611","CN","","","","","member","","","","","","","","Quarry sequence is divided into 8 beds (numbered from top) in the Xi River Basin north of Lufeng China. These unconformably overly Mesozoic sediments. No Formation names are given.\r\nHan 1985: ""Its geological age is Late Miocene equivalent to the Turolian of European sequence of land mammal ages."" Qi 1986: Age ""8 Ma or perhaps a bit later""","Quarry section at Lufeng is 8 m thick. Detailed microstratigraphy given in Qi 1985 and Badgley et al 1988.","lignite","black","unlithified","sandy","Y","mudstone","","unlithified","calcareous","Y","fluvial-lacustrine indet.","","","macrofossils,mesofossils,microfossils","","","","","","","","","","","","","","","","","","","","","taxonomic","bulk,field collection","","some macrofossils,some microfossils","","","","","","","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"138776","occ","","","11798","Anourosorex sp.","genus","40452","","Anourosorex","","genus","40452","Turolian","","8.7","5.333","Qiu et al.","1985","11436","Chordata","Mammalia","","Soricidae","Anourosorex","","","","","102.066666","25.016666","Lufeng","","","CN","Yunnan","Lufeng","stated in text","minutes","outcrop","Located about 9 km north of Lufeng at the southern side of Miaoshanpo-Mountain; IVPP-Point 75033 called section D.","gp_mid","101.59","23.91","611","CN","","","","","member","","","","","","","","Quarry sequence is divided into 8 beds (numbered from top) in the Xi River Basin north of Lufeng China. These unconformably overly Mesozoic sediments. No Formation names are given.\r\nHan 1985: ""Its geological age is Late Miocene equivalent to the Turolian of European sequence of land mammal ages."" Qi 1986: Age ""8 Ma or perhaps a bit later""","Quarry section at Lufeng is 8 m thick. Detailed microstratigraphy given in Qi 1985 and Badgley et al 1988.","lignite","black","unlithified","sandy","Y","mudstone","","unlithified","calcareous","Y","fluvial-lacustrine indet.","","","macrofossils,mesofossils,microfossils","","","","","","","","","","","","","","","","","","","","","taxonomic","bulk,field collection","","some macrofossils,some microfossils","","","","","","","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"147933","occ","","","13060","Siwalikosorex parasadi","species","40485","species not entered","Siwalikosorex","","genus","40485","Late Miocene","","11.608","5.333","Sahni and Khare","1977","4341","Chordata","Mammalia","","Soricidae","Siwalikosorex","","","","","76.666664","31.533333","Ladhyani","","","IN","Himachal Pradesh","","","minutes","local area","see map p. 190 0.5 mi south of Ladhyani village","gp_mid","77.59","27.06","501","IN","","","","","group of beds","","","","","","","","Ladhyani Ossiferous Horizon. The ossiferous horizon is lenticular with a thickness of 0.75 m and a lateral extent of 5.5 m and occurs in the Dhok Pathan Stage of the Middle Siwalik","Lithologically this bed consists of a grey coloured arenaceous shale. The sand is medium grained and well-sorted. ... Weathered surfaces show a brownish-grey colour with bone fragments. ","""shale""","","lithified","","","","","","","","fluvial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","-bonebed","","","","","","","","taxonomic","bulk,sieve,field collection","","some macrofossils","","","","","","","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"150080","occ","","","13293","Crocidura russula","species","233993","","Crocidura russula","","species","233992","Middle Pleistocene","Late Pleistocene","0.781","0.0117","Huang et al.","1988","4412","Chordata","Mammalia","","Soricidae","Crocidura","","","","","111.566666","22.766666","Xiashan Cave lower part (Guangdong Province)","","","CN","Guangdong","Luoding","based on nearby landmark","minutes","small collection","Xiashan Cave Xiashan River Valley at the western side of Dayunwu Mountain 4 km from the Capital of Pingtang District (Southwest of Luoding). Lat long is for Luoding.\n","gp_mid","111.57","22.77","611","CN","","","","","","","","lower layer","","","","","""The sediments of the site belong to cave accumulations...""\nlate middle Pleistocene","See stratigraphic column Fig. 2","claystone","brown,yellow","unlithified","sandy","Y","","","","","","terrestrial indet.","","cave deposits","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","","bulk,field collection","","","","","","","""...this fauna represents a new vertebrate assemblage of late middle Pleistocene in Xijiang River Valley.""\r\nMuseum: Guangdong Luoding bowuguan (Museum of Luoding in Guangdong)","","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"151052","occ","","","13482","Crocidosorex sp.","genus","40462","","Crocidosorex","","genus","40462","Early Miocene","Middle Miocene","23.03","11.608","Qiu","1987","6095","Chordata","Mammalia","","Soricidae","Crocidosorex","","","","","118.216698","33.183300","Xiacaowan Micromammals","","","CN","Jiangsu","Sihong","based on nearby landmark","4","","Lat/Long based on Xiacaowan China","gp_mid","115.93","32.09","604","CN","","","","","","MN 2-3","","","","","","","","","not reported","","","","","","","","","","terrestrial indet.","","","mesofossils","","","","","","","","body","","","","","","","","","","","","","biostratigraphic","bulk,field collection","","some macrofossils","","","","","Screen washing of matrix","","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"151073","occ","","","13483","Soricidae indet.","family","40443","","Soricidae","","family","40443","Middle Miocene","Late Miocene","15.97","5.333","Qiu","1987","6095","Chordata","Mammalia","","Soricidae","","","","","","111.976700","43.647499","Tunggur Micromammals","","","CN","Nei Mongol","","based on nearby landmark","4","","Based on Erlin Nei Mongol - Locality is 60 km to the east.","gp_mid","110.18","42.93","628","CN","","","","","group of beds","","","Platybelodon Beds","","","","","","","","","","","","","","","","","","","","macrofossils,mesofossils","","","","","","","","","","","","","","","","","","","","","biostratigraphic","bulk,field collection","","","2000 specimens","","","","","","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
"151074","occ","","","13483","Soricidae indet.","family","40443","","Soricidae","","family","40443","Middle Miocene","Late Miocene","15.97","5.333","Qiu","1987","6095","Chordata","Mammalia","","Soricidae","","","","","","111.976700","43.647499","Tunggur Micromammals","","","CN","Nei Mongol","","based on nearby landmark","4","","Based on Erlin Nei Mongol - Locality is 60 km to the east.","gp_mid","110.18","42.93","628","CN","","","","","group of beds","","","Platybelodon Beds","","","","","","","","","","","","","","","","","","","","macrofossils,mesofossils","","","","","","","","","","","","","","","","","","","","","biostratigraphic","bulk,field collection","","","2000 specimens","","","","","","terrestrial","","actively mobile","ground dwelling","","omnivore","viviparous","","hydroxyapatite","","",""
