it	l_0	l_1	l_2	l_3	l_4	l_5	l_6	l_7	l_8	l_9	l_10	l_11	l_12	l_13	l_14	l_15	l_16	l_17	l_18	l_19	l_20	l_21	l_22	l_23	l_24	l_25	l_26	l_27	l_28	l_29	l_30	l_31	l_32	l_33	l_34	l_35	l_36	l_37	l_38	l_39	l_40	l_41	l_42	l_43	l_44	l_45	l_46	m_0	m_1	m_2	m_3	m_4	m_5	m_6	m_7	m_8	m_9	m_10	m_11	m_12	m_13	m_14	m_15	m_16	m_17	m_18	m_19	m_20	m_21	m_22	m_23	m_24	m_25	m_26	m_27	m_28	m_29	m_30	m_31	m_32	m_33	m_34	m_35	m_36	m_37	m_38	m_39	m_40	m_41	m_42	m_43	m_44	m_45	m_46	r_0	r_1	r_2	r_3	r_4	r_5	r_6	r_7	r_8	r_9	r_10	r_11	r_12	r_13	r_14	r_15	r_16	r_17	r_18	r_19	r_20	r_21	r_22	r_23	r_24	r_25	r_26	r_27	r_28	r_29	r_30	r_31	r_32	r_33	r_34	r_35	r_36	r_37	r_38	r_39	r_40	r_41	r_42	r_43	r_44	r_45	r_46	
0	0.4516805467707507	0.4516805467707507	0.4516805467707507	0.4516805467707507	0.4516805467707507	0.4516805467707507	0.4516805467707507	0.4516805467707507	0.4516805467707507	0.4516805467707507	0.4516805467707507	0.4516805467707507	0.4516805467707507	0.4516805467707507	0.4516805467707507	0.4516805467707507	0.4516805467707507	0.4516805467707507	0.4516805467707507	0.4516805467707507	0.4516805467707507	0.4516805467707507	0.4516805467707507	0.4516805467707507	0.4516805467707507	0.4516805467707507	0.4516805467707507	0.4516805467707507	0.4516805467707507	0.4516805467707507	0.4516805467707507	0.4516805467707507	0.4516805467707507	0.4516805467707507	0.4516805467707507	0.4516805467707507	0.4516805467707507	0.4516805467707507	0.4516805467707507	0.4516805467707507	0.4516805467707507	0.4516805467707507	0.4516805467707507	0.4516805467707507	0.4516805467707507	0.4516805467707507	0.4516805467707507	0.19934010599069901	0.19934010599069901	0.19934010599069901	0.19934010599069901	0.19934010599069901	0.19934010599069901	0.19934010599069901	0.19934010599069901	0.19934010599069901	0.19934010599069901	0.19934010599069901	0.19934010599069901	0.19934010599069901	0.19934010599069901	0.19934010599069901	0.19934010599069901	0.19934010599069901	0.19934010599069901	0.19934010599069901	0.19934010599069901	0.19934010599069901	0.19934010599069901	0.19934010599069901	0.19934010599069901	0.19934010599069901	0.19934010599069901	0.19934010599069901	0.19934010599069901	0.19934010599069901	0.19934010599069901	0.19934010599069901	0.19934010599069901	0.19934010599069901	0.19934010599069901	0.19934010599069901	0.19934010599069901	0.19934010599069901	0.19934010599069901	0.19934010599069901	0.19934010599069901	0.19934010599069901	0.19934010599069901	0.19934010599069901	0.19934010599069901	0.19934010599069901	0.19934010599069901	0.19934010599069901	0.25234044078005169	0.25234044078005169	0.25234044078005169	0.25234044078005169	0.25234044078005169	0.25234044078005169	0.25234044078005169	0.25234044078005169	0.25234044078005169	0.25234044078005169	0.25234044078005169	0.25234044078005169	0.25234044078005169	0.25234044078005169	0.25234044078005169	0.25234044078005169	0.25234044078005169	0.25234044078005169	0.25234044078005169	0.25234044078005169	0.25234044078005169	0.25234044078005169	0.25234044078005169	0.25234044078005169	0.25234044078005169	0.25234044078005169	0.25234044078005169	0.25234044078005169	0.25234044078005169	0.25234044078005169	0.25234044078005169	0.25234044078005169	0.25234044078005169	0.25234044078005169	0.25234044078005169	0.25234044078005169	0.25234044078005169	0.25234044078005169	0.25234044078005169	0.25234044078005169	0.25234044078005169	0.25234044078005169	0.25234044078005169	0.25234044078005169	0.25234044078005169	0.25234044078005169	0.25234044078005169
1000	0.21219838098473068	0.21219838098473068	0.21219838098473068	0.21219838098473068	0.21219838098473068	0.21219838098473068	0.21219838098473068	0.21219838098473068	0.21219838098473068	0.21219838098473068	0.21219838098473068	0.21219838098473068	0.21219838098473068	0.21219838098473068	0.21219838098473068	0.21219838098473068	0.21219838098473068	0.21219838098473068	0.21219838098473068	0.21219838098473068	0.21219838098473068	0.21219838098473068	0.21219838098473068	0.21219838098473068	0.21219838098473068	0.21219838098473068	0.21219838098473068	0.21219838098473068	0.21219838098473068	0.21219838098473068	0.21219838098473068	0.21219838098473068	0.21219838098473068	0.21219838098473068	0.21219838098473068	0.21219838098473068	0.21219838098473068	0.21219838098473068	0.21219838098473068	0.21219838098473068	0.21219838098473068	0.21219838098473068	0.21219838098473068	0.21219838098473068	0.21219838098473068	0.21219838098473068	0.21219838098473068	0.22987701139206132	0.22987701139206132	0.22987701139206132	0.22987701139206132	0.22987701139206132	0.22987701139206132	0.22987701139206132	0.22987701139206132	0.22987701139206132	0.22987701139206132	0.22987701139206132	0.22987701139206132	0.22987701139206132	0.22987701139206132	0.22987701139206132	0.22987701139206132	0.22987701139206132	0.22987701139206132	0.22987701139206132	0.22987701139206132	0.22987701139206132	0.22987701139206132	0.22987701139206132	0.22987701139206132	0.22987701139206132	0.22987701139206132	0.22987701139206132	0.22987701139206132	0.22987701139206132	0.22987701139206132	0.22987701139206132	0.22987701139206132	0.22987701139206132	0.22987701139206132	0.22987701139206132	0.22987701139206132	0.22987701139206132	0.22987701139206132	0.22987701139206132	0.22987701139206132	0.22987701139206132	0.22987701139206132	0.22987701139206132	0.22987701139206132	0.22987701139206132	0.22987701139206132	0.22987701139206132	-0.017678630407330642	-0.017678630407330642	-0.017678630407330642	-0.017678630407330642	-0.017678630407330642	-0.017678630407330642	-0.017678630407330642	-0.017678630407330642	-0.017678630407330642	-0.017678630407330642	-0.017678630407330642	-0.017678630407330642	-0.017678630407330642	-0.017678630407330642	-0.017678630407330642	-0.017678630407330642	-0.017678630407330642	-0.017678630407330642	-0.017678630407330642	-0.017678630407330642	-0.017678630407330642	-0.017678630407330642	-0.017678630407330642	-0.017678630407330642	-0.017678630407330642	-0.017678630407330642	-0.017678630407330642	-0.017678630407330642	-0.017678630407330642	-0.017678630407330642	-0.017678630407330642	-0.017678630407330642	-0.017678630407330642	-0.017678630407330642	-0.017678630407330642	-0.017678630407330642	-0.017678630407330642	-0.017678630407330642	-0.017678630407330642	-0.017678630407330642	-0.017678630407330642	-0.017678630407330642	-0.017678630407330642	-0.017678630407330642	-0.017678630407330642	-0.017678630407330642	-0.017678630407330642
2000	0.24756729879748363	0.24756729879748363	0.24756729879748363	0.24756729879748363	0.24756729879748363	0.24756729879748363	0.24756729879748363	0.24756729879748363	0.24756729879748363	0.24756729879748363	0.24756729879748363	0.24756729879748363	0.24756729879748363	0.24756729879748363	0.24756729879748363	0.24756729879748363	0.24756729879748363	0.24756729879748363	0.24756729879748363	0.24756729879748363	0.24756729879748363	0.24756729879748363	0.24756729879748363	0.24756729879748363	0.24756729879748363	0.24756729879748363	0.24756729879748363	0.24756729879748363	0.24756729879748363	0.24756729879748363	0.24756729879748363	0.24756729879748363	0.24756729879748363	0.24756729879748363	0.24756729879748363	0.24756729879748363	0.24756729879748363	0.24756729879748363	0.24756729879748363	0.24756729879748363	0.24756729879748363	0.24756729879748363	0.24756729879748363	0.24756729879748363	0.24756729879748363	0.24756729879748363	0.24756729879748363	0.59118648261797058	0.59118648261797058	0.59118648261797058	0.59118648261797058	0.17737540431683729	0.17737540431683729	0.17737540431683729	0.17737540431683729	0.17737540431683729	0.17737540431683729	0.17737540431683729	0.17737540431683729	0.17737540431683729	0.17737540431683729	0.17737540431683729	0.17737540431683729	0.17737540431683729	0.17737540431683729	0.17737540431683729	0.17737540431683729	0.17737540431683729	0.17737540431683729	0.17737540431683729	0.17737540431683729	0.11941189388338873	0.11941189388338873	0.11941189388338873	0.11941189388338873	0.11941189388338873	0.11941189388338873	0.11941189388338873	0.11941189388338873	0.11941189388338873	0.11941189388338873	0.11941189388338873	0.11941189388338873	0.11941189388338873	0.11941189388338873	0.11941189388338873	0.11941189388338873	0.11941189388338873	0.11941189388338873	0.11941189388338873	0.11941189388338873	0.11941189388338873	0.11941189388338873	0.11941189388338873	-0.34361918382048695	-0.34361918382048695	-0.34361918382048695	-0.34361918382048695	0.070191894480646333	0.070191894480646333	0.070191894480646333	0.070191894480646333	0.070191894480646333	0.070191894480646333	0.070191894480646333	0.070191894480646333	0.070191894480646333	0.070191894480646333	0.070191894480646333	0.070191894480646333	0.070191894480646333	0.070191894480646333	0.070191894480646333	0.070191894480646333	0.070191894480646333	0.070191894480646333	0.070191894480646333	0.070191894480646333	0.12815540491409488	0.12815540491409488	0.12815540491409488	0.12815540491409488	0.12815540491409488	0.12815540491409488	0.12815540491409488	0.12815540491409488	0.12815540491409488	0.12815540491409488	0.12815540491409488	0.12815540491409488	0.12815540491409488	0.12815540491409488	0.12815540491409488	0.12815540491409488	0.12815540491409488	0.12815540491409488	0.12815540491409488	0.12815540491409488	0.12815540491409488	0.12815540491409488	0.12815540491409488
3000	0.22907124093498604	0.22907124093498604	0.22907124093498604	0.22907124093498604	0.22907124093498604	0.22907124093498604	0.22907124093498604	0.22907124093498604	0.22907124093498604	0.22907124093498604	0.22907124093498604	0.22907124093498604	0.22907124093498604	0.22907124093498604	0.22907124093498604	0.22907124093498604	0.22907124093498604	0.22907124093498604	0.22907124093498604	0.22907124093498604	0.22907124093498604	0.22907124093498604	0.22907124093498604	0.22907124093498604	0.22907124093498604	0.22907124093498604	0.22907124093498604	0.22907124093498604	0.22907124093498604	0.22907124093498604	0.22907124093498604	0.22907124093498604	0.22907124093498604	0.22907124093498604	0.22907124093498604	0.22907124093498604	0.22907124093498604	0.22907124093498604	0.22907124093498604	0.22907124093498604	0.22907124093498604	0.22907124093498604	0.22907124093498604	0.22907124093498604	0.22907124093498604	0.22907124093498604	0.22907124093498604	1.3145253804523063	1.3145253804523063	0.19827035472014148	0.19827035472014148	0.19827035472014148	0.19827035472014148	0.19827035472014148	0.19827035472014148	0.19827035472014148	0.19827035472014148	0.19827035472014148	0.16864516356376053	0.16864516356376053	0.16864516356376053	0.16864516356376053	0.16864516356376053	0.16864516356376053	0.16864516356376053	0.16864516356376053	0.16864516356376053	0.10410295613879547	0.10410295613879547	0.10410295613879547	0.10410295613879547	0.10410295613879547	0.10410295613879547	0.10410295613879547	0.10410295613879547	0.10410295613879547	0.12486634396773924	0.12486634396773924	0.12486634396773924	0.12486634396773924	0.12486634396773924	0.12486634396773924	0.12486634396773924	0.12486634396773924	0.12486634396773924	0.12486634396773924	0.12486634396773924	0.12486634396773924	0.12486634396773924	0.12486634396773924	0.12486634396773924	0.12486634396773924	0.12486634396773924	0.12486634396773924	-1.0854541395173203	-1.0854541395173203	0.030800886214844558	0.030800886214844558	0.030800886214844558	0.030800886214844558	0.030800886214844558	0.030800886214844558	0.030800886214844558	0.030800886214844558	0.030800886214844558	0.060426077371225517	0.060426077371225517	0.060426077371225517	0.060426077371225517	0.060426077371225517	0.060426077371225517	0.060426077371225517	0.060426077371225517	0.060426077371225517	0.12496828479619057	0.12496828479619057	0.12496828479619057	0.12496828479619057	0.12496828479619057	0.12496828479619057	0.12496828479619057	0.12496828479619057	0.12496828479619057	0.1042048969672468	0.1042048969672468	0.1042048969672468	0.1042048969672468	0.1042048969672468	0.1042048969672468	0.1042048969672468	0.1042048969672468	0.1042048969672468	0.1042048969672468	0.1042048969672468	0.1042048969672468	0.1042048969672468	0.1042048969672468	0.1042048969672468	0.1042048969672468	0.1042048969672468	0.1042048969672468
4000	0.22678888338945521	0.22678888338945521	0.22678888338945521	0.22678888338945521	0.22678888338945521	0.22678888338945521	0.22678888338945521	0.22678888338945521	0.22678888338945521	0.22678888338945521	0.22678888338945521	0.22678888338945521	0.22678888338945521	0.22678888338945521	0.22678888338945521	0.22678888338945521	0.22678888338945521	0.22678888338945521	0.22678888338945521	0.22678888338945521	0.22678888338945521	0.22678888338945521	0.22678888338945521	0.22678888338945521	0.22678888338945521	0.22678888338945521	0.22678888338945521	0.22678888338945521	0.22678888338945521	0.22678888338945521	0.22678888338945521	0.22678888338945521	0.22678888338945521	0.22678888338945521	0.22678888338945521	0.22678888338945521	0.22678888338945521	0.22678888338945521	0.22678888338945521	0.22678888338945521	0.22678888338945521	0.22678888338945521	0.22678888338945521	0.22678888338945521	0.22678888338945521	0.22678888338945521	0.22678888338945521	1.0435827597995733	1.0435827597995733	0.20216457048927025	0.20216457048927025	0.20216457048927025	0.20216457048927025	0.20216457048927025	0.20216457048927025	0.20216457048927025	0.20216457048927025	0.20216457048927025	0.18326731559383541	0.18326731559383541	0.18326731559383541	0.18326731559383541	0.18326731559383541	0.18326731559383541	0.18326731559383541	0.18326731559383541	0.13696920498401599	0.13696920498401599	0.13696920498401599	0.13696920498401599	0.13696920498401599	0.13696920498401599	0.13696920498401599	0.13696920498401599	0.13696920498401599	0.13696920498401599	0.061069844293093534	0.061069844293093534	0.061069844293093534	0.061069844293093534	0.061069844293093534	0.061069844293093534	0.061069844293093534	0.061069844293093534	0.061069844293093534	0.061069844293093534	0.061069844293093534	0.061069844293093534	0.061069844293093534	0.061069844293093534	0.061069844293093534	0.061069844293093534	0.061069844293093534	0.061069844293093534	-0.81679387641011802	-0.81679387641011802	0.024624312900184964	0.024624312900184964	0.024624312900184964	0.024624312900184964	0.024624312900184964	0.024624312900184964	0.024624312900184964	0.024624312900184964	0.024624312900184964	0.043521567795619803	0.043521567795619803	0.043521567795619803	0.043521567795619803	0.043521567795619803	0.043521567795619803	0.043521567795619803	0.043521567795619803	0.089819678405439224	0.089819678405439224	0.089819678405439224	0.089819678405439224	0.089819678405439224	0.089819678405439224	0.089819678405439224	0.089819678405439224	0.089819678405439224	0.089819678405439224	0.16571903909636168	0.16571903909636168	0.16571903909636168	0.16571903909636168	0.16571903909636168	0.16571903909636168	0.16571903909636168	0.16571903909636168	0.16571903909636168	0.16571903909636168	0.16571903909636168	0.16571903909636168	0.16571903909636168	0.16571903909636168	0.16571903909636168	0.16571903909636168	0.16571903909636168	0.16571903909636168
5000	0.23314315066649893	0.23314315066649893	0.23314315066649893	0.23314315066649893	0.23314315066649893	0.23314315066649893	0.23314315066649893	0.23314315066649893	0.23314315066649893	0.23314315066649893	0.23314315066649893	0.23314315066649893	0.23314315066649893	0.23314315066649893	0.23314315066649893	0.23314315066649893	0.23314315066649893	0.23314315066649893	0.23314315066649893	0.23314315066649893	0.23314315066649893	0.23314315066649893	0.23314315066649893	0.23314315066649893	0.23314315066649893	0.23314315066649893	0.23314315066649893	0.23314315066649893	0.23314315066649893	0.23314315066649893	0.23314315066649893	0.23314315066649893	0.23314315066649893	0.23314315066649893	0.23314315066649893	0.23314315066649893	0.23314315066649893	0.23314315066649893	0.23314315066649893	0.23314315066649893	0.23314315066649893	0.23314315066649893	0.23314315066649893	0.23314315066649893	0.23314315066649893	0.23314315066649893	0.23314315066649893	1.5975027648627351	1.5975027648627351	0.17628466064919351	0.17628466064919351	0.17628466064919351	0.17628466064919351	0.17628466064919351	0.17628466064919351	0.17628466064919351	0.17628466064919351	0.17628466064919351	0.19205797234286268	0.19205797234286268	0.19205797234286268	0.19205797234286268	0.19205797234286268	0.19205797234286268	0.19205797234286268	0.19205797234286268	0.16774720402038515	0.16774720402038515	0.16774720402038515	0.16774720402038515	0.16774720402038515	0.16774720402038515	0.16774720402038515	0.16774720402038515	0.16774720402038515	0.16774720402038515	0.081847096306577716	0.081847096306577716	0.081847096306577716	0.081847096306577716	0.081847096306577716	0.081847096306577716	0.081847096306577716	0.081847096306577716	0.081847096306577716	0.081847096306577716	0.081847096306577716	0.081847096306577716	0.081847096306577716	0.081847096306577716	0.081847096306577716	0.081847096306577716	0.081847096306577716	0.081847096306577716	-1.3643596141962362	-1.3643596141962362	0.056858490017305419	0.056858490017305419	0.056858490017305419	0.056858490017305419	0.056858490017305419	0.056858490017305419	0.056858490017305419	0.056858490017305419	0.056858490017305419	0.041085178323636257	0.041085178323636257	0.041085178323636257	0.041085178323636257	0.041085178323636257	0.041085178323636257	0.041085178323636257	0.041085178323636257	0.065395946646113784	0.065395946646113784	0.065395946646113784	0.065395946646113784	0.065395946646113784	0.065395946646113784	0.065395946646113784	0.065395946646113784	0.065395946646113784	0.065395946646113784	0.15129605435992122	0.15129605435992122	0.15129605435992122	0.15129605435992122	0.15129605435992122	0.15129605435992122	0.15129605435992122	0.15129605435992122	0.15129605435992122	0.15129605435992122	0.15129605435992122	0.15129605435992122	0.15129605435992122	0.15129605435992122	0.15129605435992122	0.15129605435992122	0.15129605435992122	0.15129605435992122
6000	0.23035243046629375	0.23035243046629375	0.23035243046629375	0.23035243046629375	0.23035243046629375	0.23035243046629375	0.23035243046629375	0.23035243046629375	0.23035243046629375	0.23035243046629375	0.23035243046629375	0.23035243046629375	0.23035243046629375	0.23035243046629375	0.23035243046629375	0.23035243046629375	0.23035243046629375	0.23035243046629375	0.23035243046629375	0.23035243046629375	0.23035243046629375	0.23035243046629375	0.23035243046629375	0.23035243046629375	0.23035243046629375	0.23035243046629375	0.23035243046629375	0.23035243046629375	0.23035243046629375	0.23035243046629375	0.23035243046629375	0.23035243046629375	0.23035243046629375	0.23035243046629375	0.23035243046629375	0.23035243046629375	0.23035243046629375	0.23035243046629375	0.23035243046629375	0.23035243046629375	0.23035243046629375	0.23035243046629375	0.23035243046629375	0.23035243046629375	0.23035243046629375	0.23035243046629375	0.23035243046629375	1.2007579197421487	1.2007579197421487	0.17349011877100895	0.17349011877100895	0.17349011877100895	0.17349011877100895	0.17349011877100895	0.17349011877100895	0.17349011877100895	0.17349011877100895	0.17349011877100895	0.1880893927500969	0.1880893927500969	0.1880893927500969	0.1880893927500969	0.1880893927500969	0.1880893927500969	0.1880893927500969	0.1880893927500969	0.05230169060957808	0.05230169060957808	0.05230169060957808	0.05230169060957808	0.05230169060957808	0.05230169060957808	0.05230169060957808	0.05230169060957808	0.05230169060957808	0.20029311194508231	0.20029311194508231	0.20029311194508231	0.20029311194508231	0.20029311194508231	0.20029311194508231	0.20029311194508231	0.20029311194508231	0.20029311194508231	0.20029311194508231	0.20029311194508231	0.20029311194508231	0.20029311194508231	0.20029311194508231	0.20029311194508231	0.20029311194508231	0.20029311194508231	0.20029311194508231	0.20029311194508231	-0.97040548927585502	-0.97040548927585502	0.056862311695284801	0.056862311695284801	0.056862311695284801	0.056862311695284801	0.056862311695284801	0.056862311695284801	0.056862311695284801	0.056862311695284801	0.056862311695284801	0.042263037716196855	0.042263037716196855	0.042263037716196855	0.042263037716196855	0.042263037716196855	0.042263037716196855	0.042263037716196855	0.042263037716196855	0.17805073985671566	0.17805073985671566	0.17805073985671566	0.17805073985671566	0.17805073985671566	0.17805073985671566	0.17805073985671566	0.17805073985671566	0.17805073985671566	0.030059318521211437	0.030059318521211437	0.030059318521211437	0.030059318521211437	0.030059318521211437	0.030059318521211437	0.030059318521211437	0.030059318521211437	0.030059318521211437	0.030059318521211437	0.030059318521211437	0.030059318521211437	0.030059318521211437	0.030059318521211437	0.030059318521211437	0.030059318521211437	0.030059318521211437	0.030059318521211437	0.030059318521211437
7000	0.21383478354987021	0.21383478354987021	0.21383478354987021	0.21383478354987021	0.21383478354987021	0.21383478354987021	0.21383478354987021	0.21383478354987021	0.21383478354987021	0.21383478354987021	0.21383478354987021	0.21383478354987021	0.21383478354987021	0.21383478354987021	0.21383478354987021	0.21383478354987021	0.21383478354987021	0.21383478354987021	0.21383478354987021	0.21383478354987021	0.21383478354987021	0.21383478354987021	0.21383478354987021	0.21383478354987021	0.21383478354987021	0.30954141794388074	0.30954141794388074	0.30954141794388074	0.30954141794388074	0.30954141794388074	0.30954141794388074	0.30954141794388074	0.30954141794388074	0.30954141794388074	0.30954141794388074	0.30954141794388074	0.30954141794388074	0.30954141794388074	0.30954141794388074	0.30954141794388074	0.30954141794388074	0.30954141794388074	0.30954141794388074	0.30954141794388074	0.30954141794388074	0.30954141794388074	0.30954141794388074	1.4454856217308116	1.4454856217308116	0.16320735571748998	0.16320735571748998	0.16320735571748998	0.16320735571748998	0.16320735571748998	0.16320735571748998	0.16320735571748998	0.16320735571748998	0.16320735571748998	0.16320735571748998	0.18048523914158912	0.18048523914158912	0.18048523914158912	0.18048523914158912	0.18048523914158912	0.18048523914158912	0.18048523914158912	0.11710835436870665	0.11710835436870665	0.11710835436870665	0.11710835436870665	0.11710835436870665	0.11710835436870665	0.11710835436870665	0.11710835436870665	0.11710835436870665	0.21417083810414381	0.21417083810414381	0.21417083810414381	0.21417083810414381	0.21417083810414381	0.21417083810414381	0.21417083810414381	0.21417083810414381	0.21417083810414381	0.21417083810414381	0.21417083810414381	0.21417083810414381	0.21417083810414381	0.21417083810414381	0.21417083810414381	0.21417083810414381	0.21417083810414381	0.21417083810414381	0.21417083810414381	-1.2316508381809415	-1.2316508381809415	0.050627427832380223	0.050627427832380223	0.050627427832380223	0.050627427832380223	0.050627427832380223	0.050627427832380223	0.050627427832380223	0.050627427832380223	0.050627427832380223	0.050627427832380223	0.033349544408281084	0.033349544408281084	0.033349544408281084	0.033349544408281084	0.033349544408281084	0.033349544408281084	0.033349544408281084	0.096726429181163559	0.096726429181163559	0.096726429181163559	0.096726429181163559	0.096726429181163559	0.096726429181163559	0.19243306357517409	0.19243306357517409	0.19243306357517409	0.09537057983973693	0.09537057983973693	0.09537057983973693	0.09537057983973693	0.09537057983973693	0.09537057983973693	0.09537057983973693	0.09537057983973693	0.09537057983973693	0.09537057983973693	0.09537057983973693	0.09537057983973693	0.09537057983973693	0.09537057983973693	0.09537057983973693	0.09537057983973693	0.09537057983973693	0.09537057983973693	0.09537057983973693
8000	0.22638883804746482	0.22638883804746482	0.22638883804746482	0.22638883804746482	0.22638883804746482	0.22638883804746482	0.22638883804746482	0.22638883804746482	0.22638883804746482	0.22638883804746482	0.22638883804746482	0.22638883804746482	0.22638883804746482	0.22638883804746482	0.22638883804746482	0.22638883804746482	0.22638883804746482	0.22638883804746482	0.22638883804746482	0.22638883804746482	0.22638883804746482	0.22638883804746482	0.22638883804746482	0.22638883804746482	0.22638883804746482	0.22638883804746482	0.22638883804746482	0.22638883804746482	0.22638883804746482	0.22638883804746482	0.22638883804746482	0.22638883804746482	0.22638883804746482	0.22638883804746482	0.22638883804746482	0.22638883804746482	0.22638883804746482	0.22638883804746482	0.22638883804746482	0.22638883804746482	0.22638883804746482	0.22638883804746482	0.22638883804746482	0.22638883804746482	0.22638883804746482	0.22638883804746482	0.22638883804746482	0.97533435200707497	0.97533435200707497	0.15780301217041451	0.15780301217041451	0.15780301217041451	0.15780301217041451	0.15780301217041451	0.15780301217041451	0.15780301217041451	0.15780301217041451	0.15780301217041451	0.15751812980865171	0.15751812980865171	0.15751812980865171	0.15751812980865171	0.15751812980865171	0.15751812980865171	0.15751812980865171	0.071692243800785677	0.071692243800785677	0.071692243800785677	0.071692243800785677	0.071692243800785677	0.071692243800785677	0.071692243800785677	0.071692243800785677	0.071692243800785677	0.30698843490297362	0.30698843490297362	0.30698843490297362	0.30698843490297362	0.30698843490297362	0.30698843490297362	0.30698843490297362	0.30698843490297362	0.30698843490297362	0.30698843490297362	0.30698843490297362	0.30698843490297362	0.30698843490297362	0.30698843490297362	0.30698843490297362	0.30698843490297362	0.30698843490297362	0.30698843490297362	0.30698843490297362	0.30698843490297362	-0.74894551395961018	-0.74894551395961018	0.06858582587705031	0.06858582587705031	0.06858582587705031	0.06858582587705031	0.06858582587705031	0.06858582587705031	0.06858582587705031	0.06858582587705031	0.06858582587705031	0.068870708238813111	0.068870708238813111	0.068870708238813111	0.068870708238813111	0.068870708238813111	0.068870708238813111	0.068870708238813111	0.15469659424667914	0.15469659424667914	0.15469659424667914	0.15469659424667914	0.15469659424667914	0.15469659424667914	0.15469659424667914	0.15469659424667914	0.15469659424667914	-0.080599596855508798	-0.080599596855508798	-0.080599596855508798	-0.080599596855508798	-0.080599596855508798	-0.080599596855508798	-0.080599596855508798	-0.080599596855508798	-0.080599596855508798	-0.080599596855508798	-0.080599596855508798	-0.080599596855508798	-0.080599596855508798	-0.080599596855508798	-0.080599596855508798	-0.080599596855508798	-0.080599596855508798	-0.080599596855508798	-0.080599596855508798	-0.080599596855508798
9000	0.24108125436412037	0.24108125436412037	0.24108125436412037	0.24108125436412037	0.24108125436412037	0.24108125436412037	0.24108125436412037	0.24108125436412037	0.24108125436412037	0.24108125436412037	0.24108125436412037	0.24108125436412037	0.24108125436412037	0.24108125436412037	0.24108125436412037	0.24108125436412037	0.24108125436412037	0.24108125436412037	0.24108125436412037	0.24108125436412037	0.24108125436412037	0.24108125436412037	0.24108125436412037	0.24108125436412037	0.24108125436412037	0.24108125436412037	0.24108125436412037	0.24108125436412037	0.24108125436412037	0.24108125436412037	0.24108125436412037	0.24108125436412037	0.24108125436412037	0.24108125436412037	0.24108125436412037	0.24108125436412037	0.24108125436412037	0.24108125436412037	0.24108125436412037	0.24108125436412037	0.24108125436412037	0.24108125436412037	0.24108125436412037	0.24108125436412037	0.24108125436412037	0.24108125436412037	0.24108125436412037	1.3298009556972064	1.3298009556972064	0.17501514590814565	0.17501514590814565	0.17501514590814565	0.17501514590814565	0.17501514590814565	0.17501514590814565	0.17501514590814565	0.17501514590814565	0.17501514590814565	0.23927693939177874	0.23927693939177874	0.23927693939177874	0.23927693939177874	0.23927693939177874	0.23927693939177874	0.23927693939177874	0.12633802590563173	0.12633802590563173	0.12633802590563173	0.12633802590563173	0.12633802590563173	0.12633802590563173	0.12633802590563173	0.12633802590563173	0.12633802590563173	0.12633802590563173	0.1583182774596211	0.1583182774596211	0.1583182774596211	0.1583182774596211	0.1583182774596211	0.1583182774596211	0.1583182774596211	0.1583182774596211	0.1583182774596211	0.1583182774596211	0.1583182774596211	0.1583182774596211	0.1583182774596211	0.1583182774596211	0.1583182774596211	0.1583182774596211	0.1583182774596211	0.1583182774596211	0.1583182774596211	-1.088719701333086	-1.088719701333086	0.066066108455974715	0.066066108455974715	0.066066108455974715	0.066066108455974715	0.066066108455974715	0.066066108455974715	0.066066108455974715	0.066066108455974715	0.066066108455974715	0.0018043149723416252	0.0018043149723416252	0.0018043149723416252	0.0018043149723416252	0.0018043149723416252	0.0018043149723416252	0.0018043149723416252	0.11474322845848864	0.11474322845848864	0.11474322845848864	0.11474322845848864	0.11474322845848864	0.11474322845848864	0.11474322845848864	0.11474322845848864	0.11474322845848864	0.11474322845848864	0.082762976904499269	0.082762976904499269	0.082762976904499269	0.082762976904499269	0.082762976904499269	0.082762976904499269	0.082762976904499269	0.082762976904499269	0.082762976904499269	0.082762976904499269	0.082762976904499269	0.082762976904499269	0.082762976904499269	0.082762976904499269	0.082762976904499269	0.082762976904499269	0.082762976904499269	0.082762976904499269	0.082762976904499269
